StudentID,QuestionID,Score,MaxScore
s001,q1,8,10
s001,q2,6,10
s001,q3,9,10
s001,q4,7,10
s001,q5,8,10
s001,q6,5,10
s001,q7,9,10
s001,q8,6,10
s002,q1,7,10
s002,q2,8,10
s002,q3,5,10
s002,q4,8,10
s002,q5,7,10
s002,q6,6,10
s002,q7,8,10
s002,q8,7,10
s003,q1,9,10
s003,q2,7,10
s003,q3,8,10
s003,q4,6,10
s003,q5,9,10
s003,q6,7,10
s003,q7,7,10
s003,q8,8,10
s004,q1,6,10
s004,q2,5,10
s004,q3,7,10
s004,q4,9,10
s004,q5,6,10
s004,q6,8,10
s004,q7,6,10
s004,q8,5,10
s005,q1,8,10
s005,q2,9,10
s005,q3,6,10
s005,q4,7,10
s005,q5,8,10
s005,q6,9,10
s005,q7,8,10
s005,q8,7,10
s006,q1,5,10
s006,q2,6,10
s006,q3,9,10
s006,q4,8,10
s006,q5,7,10
s006,q6,6,10
s006,q7,9,10
s006,q8,8,10
s007,q1,9,10
s007,q2,8,10
s007,q3,7,10
s007,q4,6,10
s007,q5,8,10
s007,q6,7,10
s007,q7,6,10
s007,q8,9,10
s008,q1,7,10
s008,q2,7,10
s008,q3,8,10
s008,q4,8,10
s008,q5,6,10
s008,q6,8,10
s008,q7,9,10
s008,q8,6,10
